Claim_ID,Claimant_ID,Name,DOB,SSN_Hash,Email,Phone,IP_Address,Device_ID,Employer_Name,Employment_Status,Wage_Reported,Claim_Amount,Claim_Date,Justification_Text,Identity_Verification_Status,Document_Types_Provided,Identity_Score,Previous_Employers,Employment_History_Verified,Employment_Gap_Months,Termination_Reason_Code,Address_History,IP_Geolocation,Address_Verification_Status,Geographic_Risk_Score,Bank_Account_Age_Months,Payment_Method,Financial_Institution_Risk_Level,Device_Fingerprint,Login_Pattern_Analysis,Application_Behavior_Score,Session_Duration_Minutes,Family_Members_Claims,Shared_Address_Count,Shared_Phone_Count,Known_Associates_Risk,Employer_Risk_Score,Industry_Risk_Level,Employer_Audit_History,Mass_Layoff_Event
UI001,CL001,John Smith,1985-03-15,abc123hash,john.smith@email.com,555-0101,192.168.1.100,DEV001,TechCorp Inc,Terminated,65000,15600,2024-01-15,Laid off due to company downsizing,VERIFIED,Driver_License|Passport,95,TechCorp Inc|DataSoft LLC,TRUE,0,LAYOFF,123 Main St|456 Oak Ave,New_York_NY,VERIFIED,15,24,BANK_TRANSFER,LOW,FINGER001,NORMAL,85,45,0,1,1,LOW,25,MEDIUM,PASSED,TRUE
UI002,CL002,Maria Garcia,1990-07-22,def456hash,maria.garcia@email.com,555-0102,10.0.0.5,DEV002,RestaurantCorp,Terminated,28000,7280,2024-01-20,Restaurant closed permanently,VERIFIED,Driver_License|Social_Security_Card,88,RestaurantCorp|FoodService LLC,TRUE,2,BUSINESS_CLOSURE,789 Pine St,Los_Angeles_CA,VERIFIED,20,18,DIRECT_DEPOSIT,LOW,FINGER002,NORMAL,92,38,0,1,1,LOW,35,HIGH,FAILED,TRUE
UI003,CL003,Robert Johnson,1982-11-08,ghi789hash,robert.j.suspicious@tempmail.com,555-0103,203.0.113.5,DEV003,QuickCash Staffing,Terminated,45000,11700,2024-02-01,Temporary contract ended,PENDING,Driver_License,45,QuickCash Staffing|TempWork Inc|FastHire LLC,FALSE,8,CONTRACT_END,321 Elm St|987 Cedar Ln|654 Birch Rd,Miami_FL,FAILED,75,3,PREPAID_CARD,HIGH,FINGER003,SUSPICIOUS,35,15,2,3,2,HIGH,85,HIGH,FAILED,FALSE
UI004,CL004,Sarah Wilson,1988-05-12,jkl012hash,sarah.wilson@gmail.com,555-0104,192.168.1.101,DEV004,HealthCare Plus,Terminated,52000,13520,2024-02-10,Position eliminated due to restructuring,VERIFIED,Driver_License|Passport|Birth_Certificate,92,HealthCare Plus,TRUE,0,RESTRUCTURING,111 Health Ave,Denver_CO,VERIFIED,10,36,BANK_TRANSFER,LOW,FINGER004,NORMAL,88,42,0,1,1,LOW,15,LOW,PASSED,FALSE
UI005,CL005,Michael Brown,1975-09-30,mno345hash,mike.brown.claims@email.com,555-0105,198.51.100.10,DEV005,Construction LLC,Terminated,38000,9880,2024-02-15,Seasonal work ended,FAILED,Driver_License,25,Construction LLC|BuildFast Inc|QuickBuild Corp,FALSE,6,SEASONAL,222 Build St|333 Hammer Ln,Phoenix_AZ,FAILED,60,6,CHECK,MEDIUM,FINGER005,ABNORMAL,25,8,1,2,3,MEDIUM,65,MEDIUM,REVIEW,FALSE
UI006,CL006,Jennifer Davis,1992-12-03,pqr678hash,jennifer.davis@company.com,555-0106,203.0.113.15,DEV006,FamilyBiz Inc,Terminated,42000,10920,2024-02-20,Company dissolved,VERIFIED,Driver_License|Passport,90,FamilyBiz Inc,TRUE,0,BUSINESS_CLOSURE,444 Family St,Seattle_WA,VERIFIED,25,48,BANK_TRANSFER,LOW,FINGER006,NORMAL,90,50,3,1,1,MEDIUM,40,MEDIUM,PASSED,TRUE
UI007,CL007,David Miller,1980-04-18,stu901hash,david.miller.multiple@tempmail.org,555-0107,192.0.2.25,DEV007,ShellCorp Holdings,Terminated,75000,19500,2024-03-01,Mutual agreement termination,PENDING,Driver_License,35,ShellCorp Holdings|ShadyBusiness LLC|QuestionableCorp,FALSE,12,MUTUAL,555 Shell St|666 Shadow Ave|777 Question Blvd,Las_Vegas_NV,FAILED,90,1,CRYPTOCURRENCY,HIGH,FINGER007,HIGHLY_SUSPICIOUS,15,5,4,5,4,HIGH,95,HIGH,FAILED,FALSE
UI008,CL008,Lisa Anderson,1987-08-25,vwx234hash,lisa.anderson@legitimate.com,555-0108,192.168.1.102,DEV008,LegitCorp,Terminated,48000,12480,2024-03-05,Downsizing due to economic conditions,VERIFIED,Driver_License|Passport|W2_Form,98,LegitCorp|PreviousJob Inc,TRUE,0,DOWNSIZING,888 Legit Ave,Boston_MA,VERIFIED,5,60,BANK_TRANSFER,LOW,FINGER008,NORMAL,95,55,0,1,1,LOW,10,LOW,PASSED,TRUE
UI009,CL009,Christopher Lee,1983-01-14,yza567hash,chris.lee.family@email.com,555-0109,10.0.0.15,DEV009,FamilyCorp,Terminated,35000,9100,2024-03-10,Position eliminated,VERIFIED,Driver_License|Social_Security_Card,78,FamilyCorp,TRUE,1,ELIMINATION,999 Family Rd,Portland_OR,VERIFIED,30,30,DIRECT_DEPOSIT,LOW,FINGER009,NORMAL,80,40,2,1,2,MEDIUM,30,LOW,PASSED,FALSE
UI010,CL010,Amanda Taylor,1989-06-07,bcd890hash,amanda.taylor.suspicious@fakemail.net,555-0110,203.0.113.35,DEV010,SuspiciousCorp,Terminated,85000,22100,2024-03-15,Whistleblower retaliation,FAILED,None,10,SuspiciousCorp|ShellCompany LLC|FraudInc,FALSE,18,RETALIATION,101 Suspicious St|202 Shady Ln|303 Fraud Ave,Detroit_MI,FAILED,95,2,MONEY_ORDER,HIGH,FINGER010,FRAUDULENT,10,3,3,4,5,HIGH,98,HIGH,INVESTIGATION,FALSE
